titleId,seasonNumber,title,date,av_rating,share,genres
tt0806901,44,Polizeiruf 110,2015,7,0,"Crime,Drama"
tt0806901,40,Polizeiruf 110,2011,7.3595,0.02,"Crime,Drama"
tt0806901,39,Polizeiruf 110,2010,7.2,0.01,"Crime,Drama"
tt0203259,20,Law & Order: Special Victims Unit,2018,8.6219,0.07,"Crime,Drama,Mystery"
tt0098844,20,Law & Order,2010,7.8286,0.28,"Crime,Drama,Mystery"
tt0203259,19,Law & Order: Special Victims Unit,2018,8.706,0.63,"Crime,Drama,Mystery"
tt0098844,19,Law & Order,2009,7.7893,0.29,"Crime,Drama,Mystery"
tt0118401,19,Midsomer Murders,2017,7.3916,0.05,"Crime,Drama,Mystery"
tt0098844,18,Law & Order,2008,7.847,0.31,"Crime,Drama,Mystery"
tt0203259,18,Law & Order: Special Victims Unit,2017,8.001,0.28,"Crime,Drama,Mystery"
tt0118401,18,Midsomer Murders,2016,7.1664,0.05,"Crime,Drama,Mystery"
tt0203259,17,Law & Order: Special Victims Unit,2016,8.6406,0.27,"Crime,Drama,Mystery"
tt0118401,17,Midsomer Murders,2015,7.5352,0.04,"Crime,Drama,Mystery"
tt0203259,16,Law & Order: Special Victims Unit,2015,6.5898,0.4,"Crime,Drama,Mystery"
tt0118401,16,Midsomer Murders,2014,7.5946,0.07,"Crime,Drama,Mystery"
tt0413573,15,Grey's Anatomy,2018,8.2666,0.07,"Drama,Romance"
tt0247082,15,CSI: Crime Scene Investigation,2014,7.471,0.17,"Crime,Drama,Mystery"
tt0108757,15,ER,2009,7.7185,0.58,"Drama,Romance"
tt0203259,15,Law & Order: Special Victims Unit,2014,8.4387,0.4,"Crime,Drama,Mystery"
tt0118401,15,Midsomer Murders,2012,7.3327,0.13,"Crime,Drama,Mystery"
tt0452046,14,Criminal Minds,2018,9,0.03,"Crime,Drama,Mystery"
tt0413573,14,Grey's Anatomy,2018,8.6014,1.23,"Drama,Romance"
tt0247082,14,CSI: Crime Scene Investigation,2014,7.5664,0.23,"Crime,Drama,Mystery"
tt0203259,14,Law & Order: Special Victims Unit,2013,8.8197,0.49,"Crime,Drama,Mystery"
tt0118401,14,Midsomer Murders,2011,7.3161,0.16,"Crime,Drama,Mystery"
tt0452046,13,Criminal Minds,2018,7.4787,1.51,"Crime,Drama,Mystery"
tt0460681,13,Supernatural,2018,8.8816,2.8,"Drama,Fantasy,Horror"
tt0247082,13,CSI: Crime Scene Investigation,2013,7.6904,0.31,"Crime,Drama,Mystery"
tt0413573,13,Grey's Anatomy,2017,7.5594,0.58,"Drama,Romance"
tt0118375,13,King of the Hill,2009,7.4113,0.27,"Animation,Comedy,Drama"
tt0203259,13,Law & Order: Special Victims Unit,2012,8.7952,0.74,"Crime,Drama,Mystery"
tt0118401,13,Midsomer Murders,2010,7.2938,0.24,"Crime,Drama,Mystery"
tt0460627,12,Bones,2017,7.9464,0.14,"Comedy,Crime,Drama"
tt0452046,12,Criminal Minds,2017,7.0573,1.17,"Crime,Drama,Mystery"
tt0247082,12,CSI: Crime Scene Investigation,2012,8.1063,0.83,"Crime,Drama,Mystery"
tt0413573,12,Grey's Anatomy,2016,8.5268,0.5,"Drama,Romance"
tt0118375,12,King of the Hill,2008,7.504,0.22,"Animation,Comedy,Drama"
tt0203259,12,Law & Order: Special Victims Unit,2011,8.9302,0.66,"Crime,Drama,Mystery"
tt0118401,12,Midsomer Murders,2009,7.6068,0.26,"Crime,Drama,Mystery"
tt0460681,12,Supernatural,2017,8.5149,1.33,"Drama,Fantasy,Horror"
tt0436992,11,Doctor Who,2018,7.6999,0.8,"Adventure,Drama,Family"
tt0106179,11,The X-Files,2018,7.6945,1.69,"Drama,Mystery,Sci-Fi"
tt0460627,11,Bones,2016,8.0754,0.22,"Comedy,Crime,Drama"
tt0452046,11,Criminal Minds,2016,6.7903,0.92,"Crime,Drama,Mystery"
tt0247082,11,CSI: Crime Scene Investigation,2011,7.4897,0.72,"Crime,Drama,Mystery"
tt0413573,11,Grey's Anatomy,2015,7.3174,0.67,"Drama,Romance"
tt0203259,11,Law & Order: Special Victims Unit,2010,8.886,0.81,"Crime,Drama,Mystery"
tt0118401,11,Midsomer Murders,2008,7.4447,0.32,"Crime,Drama,Mystery"
tt1091909,11,Murdoch Mysteries,2017,8.957,0.01,"Crime,Drama,Mystery"
tt0460681,11,Supernatural,2016,8.9331,1.56,"Drama,Fantasy,Horror"
tt1378167,10,NCIS: Los Angeles,2018,8.7,0.01,"Crime,Drama,Mystery"
tt0094540,10,Roseanne,2018,7.6066,0.32,"Comedy,Drama"
tt0460627,10,Bones,2015,7.6415,0.35,"Comedy,Crime,Drama"
tt0452046,10,Criminal Minds,2015,6.8802,1.3,"Crime,Drama,Mystery"
tt0247082,10,CSI: Crime Scene Investigation,2010,7.6927,0.93,"Crime,Drama,Mystery"
tt0313043,10,CSI: Miami,2011,7.5757,0.22,"Action,Crime,Drama"
tt0436992,10,Doctor Who,2017,7.9045,1.37,"Adventure,Drama,Family"
tt0413573,10,Grey's Anatomy,2014,7.2621,0.71,"Drama,Romance"
tt0275140,10,Law & Order: Criminal Intent,2011,8.166,0.07,"Crime,Drama,Mystery"
tt0203259,10,Law & Order: Special Victims Unit,2009,8.9351,1.04,"Crime,Drama,Mystery"
tt0160904,10,MI-5,2011,8.461,0.02,"Drama,Thriller"
tt1091909,10,Murdoch Mysteries,2017,8.5,0.01,"Crime,Drama,Mystery"
tt0279600,10,Smallville,2011,8.7124,0.94,"Adventure,Drama,Romance"
tt0460681,10,Supernatural,2015,8.5588,2.06,"Drama,Fantasy,Horror"
tt0106179,10,The X-Files,2016,7.6359,1.01,"Drama,Mystery,Sci-Fi"
tt1600194,9,Hawaii Five-0,2018,8.2,0.01,"Action,Crime,Drama"
tt1378167,9,NCIS: Los Angeles,2018,7.925,0.27,"Crime,Drama,Mystery"
tt1586680,9,Shameless,2018,8.0299,0.16,"Comedy,Drama"
tt0460627,9,Bones,2014,7.7742,0.48,"Comedy,Crime,Drama"
tt0452046,9,Criminal Minds,2014,6.9501,1.38,"Crime,Drama,Mystery"
tt0247082,9,CSI: Crime Scene Investigation,2009,7.7956,1.44,"Crime,Drama,Mystery"
tt0313043,9,CSI: Miami,2011,7.5484,0.24,"Action,Crime,Drama"
tt0395843,9,CSI: NY,2012,7.87,0.2,"Action,Crime,Drama"
tt0436992,9,Doctor Who,2015,8.366,2.13,"Adventure,Drama,Family"
tt0413573,9,Grey's Anatomy,2013,8.2577,0.84,"Drama,Romance"
tt0920489,9,Il commissario Montalbano,2013,7.4,0.01,"Crime,Drama,Mystery"
tt0874608,9,Inspector Lewis,2015,7.7168,0.05,"Crime,Drama,Mystery"
tt0275140,9,Law & Order: Criminal Intent,2010,7.9033,0.13,"Crime,Drama,Mystery"
tt0160904,9,MI-5,2010,8.5238,0.05,"Drama,Thriller"
tt1091909,9,Murdoch Mysteries,2015,8.1476,0.06,"Crime,Drama,Mystery"
tt0368530,9,One Tree Hill,2012,8.9767,0.23,"Drama,Romance,Sport"
tt0285403,9,Scrubs,2010,6.42,0.51,"Comedy,Drama"
tt0279600,9,Smallville,2010,8.5703,1.09,"Adventure,Drama,Romance"
tt0460681,9,Supernatural,2014,8.4372,2.32,"Drama,Fantasy,Horror"
tt0285331,8,24,2010,8.4744,1.55,"Action,Crime,Drama"
tt1844624,8,American Horror Story,2018,8.6163,0.92,"Drama,Horror,Thriller"
tt1595859,8,Blue Bloods,2018,7.8797,0.21,"Crime,Drama"
tt1600194,8,Hawaii Five-0,2018,7.6242,0.43,"Action,Crime,Drama"
tt1632701,8,Suits,2018,7.9305,0.33,"Comedy,Drama"
tt1520211,8,The Walking Dead,2018,7.019,7.13,"Drama,Horror,Sci-Fi"
tt0460627,8,Bones,2013,7.7111,0.67,"Comedy,Crime,Drama"
tt1219024,8,Castle,2016,8.0475,0.36,"Comedy,Crime,Drama"
tt0452046,8,Criminal Minds,2013,6.9653,1.68,"Crime,Drama,Mystery"
tt0247082,8,CSI: Crime Scene Investigation,2008,8.0688,1.25,"Crime,Drama,Mystery"
tt0313043,8,CSI: Miami,2010,7.6145,0.37,"Action,Crime,Drama"
tt0395843,8,CSI: NY,2012,7.9273,0.21,"Action,Crime,Drama"
tt0410975,8,Desperate Housewives,2012,8.226,0.57,"Comedy,Drama,Mystery"
tt0773262,8,Dexter,2013,6.9488,2.5,"Crime,Drama,Mystery"
tt0436992,8,Doctor Who,2014,7.8951,2.36,"Adventure,Drama,Family"
tt0387199,8,Entourage,2011,8.2854,0.36,"Comedy,Drama"
tt0413573,8,Grey's Anatomy,2012,8.6265,1.39,"Drama,Romance"
tt0412142,8,House,2012,8.4848,2.63,"Drama,Mystery"
tt0379632,8,Hustle,2012,8.9,0.01,"Crime,Drama,Mystery"
tt0874608,8,Inspector Lewis,2014,7.9191,0.06,"Crime,Drama,Mystery"
tt0275140,8,Law & Order: Criminal Intent,2009,8.0613,0.21,"Crime,Drama,Mystery"
tt0160904,8,MI-5,2009,8.2466,0.09,"Drama,Thriller"
tt0312172,8,Monk,2009,8.4862,0.73,"Comedy,Crime,Drama"
tt1091909,8,Murdoch Mysteries,2015,8.106,0.1,"Crime,Drama,Mystery"
tt1378167,8,NCIS: Los Angeles,2017,8.2669,0.16,"Crime,Drama,Mystery"
tt0368530,8,One Tree Hill,2011,8.6115,0.24,"Drama,Romance,Sport"
tt1319735,8,Royal Pains,2016,6.1,0.01,"Comedy,Drama"
tt0285403,8,Scrubs,2009,8.7016,1.66,"Comedy,Drama"
tt1586680,8,Shameless,2017,8.4991,0.32,"Comedy,Drama"
tt0279600,8,Smallville,2009,8.498,1.6,"Adventure,Drama,Romance"
tt0460681,8,Supernatural,2013,8.5307,2.65,"Drama,Fantasy,Horror"
tt1405406,8,The Vampire Diaries,2017,8.768,0.47,"Drama,Fantasy,Horror"
tt0439100,8,Weeds,2012,7.4982,0.39,"Comedy,Crime,Drama"
tt0285331,7,24,2009,8.4922,2.04,"Action,Crime,Drama"
tt1844624,7,American Horror Story,2017,7.4122,0.85,"Drama,Horror,Thriller"
tt1983079,7,Call the Midwife,2018,8.4023,0.07,"Drama,History"
tt1888075,7,Death in Paradise,2018,7.701,0.07,"Crime,Drama,Mystery"
tt1595859,7,Blue Bloods,2017,7.6671,0.14,"Crime,Drama"
tt1796960,7,Homeland,2018,8.3374,1.05,"Crime,Drama,Mystery"
tt0460627,7,Bones,2012,8.0424,0.61,"Comedy,Crime,Drama"
tt0810788,7,Burn Notice,2013,8.7325,0.17,"Action,Crime,Drama"
tt0904208,7,Californication,2014,7.5632,0.33,"Comedy,Drama"
